指标,地区,时间,数值
中央补助收入（万元）,安徽省,2000,1617077.00000
中央补助收入（万元）,安徽省,2001,2274582.00000
中央补助收入（万元）,安徽省,2002,2538915.00000
中央补助收入（万元）,安徽省,2003,2934491.00000
中央补助收入（万元）,安徽省,2004,3540808.00000
中央补助收入（万元）,安徽省,2005,4008488.00000
中央补助收入（万元）,安徽省,2006,5304457.00000
中央补助收入（万元）,安徽省,2007,7177865.00000
中央补助收入（万元）,安徽省,2008,9146950.00000
中央补助收入（万元）,安徽省,2009,11897131.00000
中央补助收入（万元）,安徽省,2010,14030700.00000
中央补助收入（万元）,安徽省,2011,18146200.00000
中央补助收入（万元）,安徽省,2012,20951700.00000
中央补助收入（万元）,安徽省,2013,21546400.00000
中央补助收入（万元）,安徽省,2014,23161200.00000
中央补助收入（万元）,安徽省,2015,24853400.00000
中央补助收入（万元）,安徽省,2016,26105900.00000
中央补助收入（万元）,安徽省,2017,29209800.00000
中央补助收入（万元）,安徽省,2018,30828000.00000
中央补助收入（万元）,安徽省,2019,33773700.00000
中央补助收入（万元）,安徽省,2020,37440600.00000
中央补助收入（万元）,安徽省,2021,35928300.00000
中央补助收入（万元）,安徽省,2022,41131600.00000
中央补助收入（万元）,安徽省,2023,44071900.00000
中央补助收入（万元）,安徽省,2024,44782900.00000
中央补助收入（万元）,福建省,1995,669658.00000
中央补助收入（万元）,福建省,1996,675813.00000
中央补助收入（万元）,福建省,1997,591936.00000
中央补助收入（万元）,福建省,1998,749961.00000
中央补助收入（万元）,福建省,1999,825225.00000
中央补助收入（万元）,福建省,2000,916525.00000
中央补助收入（万元）,福建省,2001,1018831.00000
中央补助收入（万元）,福建省,2002,1318835.00000
中央补助收入（万元）,福建省,2003,1505674.00000
中央补助收入（万元）,福建省,2004,1946726.00000
中央补助收入（万元）,福建省,2005,1839945.00000
中央补助收入（万元）,福建省,2006,2330878.00000
中央补助收入（万元）,福建省,2007,2858648.00000
中央补助收入（万元）,福建省,2008,3624488.00000
中央补助收入（万元）,福建省,2009,5114554.00000
中央补助收入（万元）,福建省,2010,6049500.00000
中央补助收入（万元）,福建省,2011,8181600.00000
中央补助收入（万元）,福建省,2012,8948000.00000
中央补助收入（万元）,福建省,2013,9367900.00000
中央补助收入（万元）,福建省,2014,9796300.00000
中央补助收入（万元）,福建省,2015,11083700.00000
中央补助收入（万元）,福建省,2016,11887900.00000
中央补助收入（万元）,福建省,2017,12835900.00000
中央补助收入（万元）,福建省,2018,13041500.00000
中央补助收入（万元）,福建省,2019,14731000.00000
中央补助收入（万元）,福建省,2020,15736400.00000
中央补助收入（万元）,福建省,2021,15923400.00000
中央补助收入（万元）,福建省,2022,18046400.00000
中央补助收入（万元）,福建省,2023,20740800.00000
中央补助收入（万元）,福建省,2024,18847400.00000
中央补助收入（万元）,    厦门市,1995,95722.00000
中央补助收入（万元）,    厦门市,1996,
中央补助收入（万元）,    厦门市,1997,115777.00000
中央补助收入（万元）,    厦门市,1998,125425.00000
中央补助收入（万元）,    厦门市,1999,138145.00000
中央补助收入（万元）,    厦门市,2000,162390.00000
中央补助收入（万元）,    厦门市,2001,192083.00000
中央补助收入（万元）,    厦门市,2002,281497.00000
中央补助收入（万元）,    厦门市,2003,296566.00000
中央补助收入（万元）,    厦门市,2004,435483.00000
中央补助收入（万元）,    厦门市,2005,322424.00000
中央补助收入（万元）,    厦门市,2006,342202.00000
中央补助收入（万元）,    厦门市,2007,366754.00000
中央补助收入（万元）,    厦门市,2008,404482.00000
中央补助收入（万元）,    厦门市,2009,486347.00000
中央补助收入（万元）,    厦门市,2010,517100.00000
中央补助收入（万元）,    厦门市,2011,596800.00000
中央补助收入（万元）,    厦门市,2012,646500.00000
中央补助收入（万元）,    厦门市,2013,683200.00000
中央补助收入（万元）,    厦门市,2014,681600.00000
中央补助收入（万元）,    厦门市,2015,897100.00000
中央补助收入（万元）,    厦门市,2016,1208800.00000
中央补助收入（万元）,    厦门市,2017,1095300.00000
中央补助收入（万元）,    厦门市,2018,1058100.00000
中央补助收入（万元）,    厦门市,2019,1218700.00000
中央补助收入（万元）,    厦门市,2020,1299500.00000
中央补助收入（万元）,    厦门市,2021,1411900.00000
中央补助收入（万元）,    厦门市,2022,1504000.00000
中央补助收入（万元）,    厦门市,2023,1589600.00000
中央补助收入（万元）,    厦门市,2024,1449900.00000
中央补助收入（万元）,江西省,1995,502654.00000
中央补助收入（万元）,江西省,1996,559802.00000
中央补助收入（万元）,江西省,1997,583206.00000
中央补助收入（万元）,江西省,1998,917463.00000
中央补助收入（万元）,江西省,1999,1115688.00000
中央补助收入（万元）,江西省,2000,1182761.00000
中央补助收入（万元）,江西省,2001,1669252.00000
中央补助收入（万元）,江西省,2002,2051194.00000
